"thread_title";"thread_title_link";"author";"replies";"views";"lastuser";"lastuser_link";"lastpost_link";"lastpost_datetime"
"Repost from WCSailor about new study";"http://www.cancerforums.net/threads/13010-Repost-from-WCSailor-about-new-study";"Replicant";0;2;"Replicant";"http://www.cancerforums.net/members/3361-Replicant";"http://www.cancerforums.net/threads/13010-Repost-from-WCSailor-about-new-study?p=67954#post67954";"05-15-2010, 02:28 PM"
"Request for Advice...""just in case"".";"http://www.cancerforums.net/threads/19938-Request-for-Advice-quot-just-in-case-quot";"sb194";8;3;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/19938-Request-for-Advice-quot-just-in-case-quot?p=109366#post109366";"11-25-2011, 08:13 AM"
"Researchers Find Familial Prostate Cancer Mutation";"http://www.cancerforums.net/threads/20984-Researchers-Find-Familial-Prostate-Cancer-Mutation";"newporter";1;1;"mtsarpilot";"http://www.cancerforums.net/members/27561-mtsarpilot";"http://www.cancerforums.net/threads/20984-Researchers-Find-Familial-Prostate-Cancer-Mutation?p=115671#post115671";"01-12-2012, 05:31 AM"
"researches...";"http://www.cancerforums.net/threads/18416-researches";"sapporo";2;1;"sapporo";"http://www.cancerforums.net/members/23785-sapporo";"http://www.cancerforums.net/threads/18416-researches?p=97479#post97479";"08-12-2011, 03:50 PM"
"Researching A Surgeon's Surgical Margin Rates";"http://www.cancerforums.net/threads/45465-Researching-A-Surgeon-s-Surgical-Margin-Rates";"BigbirdPhila";12;2;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/45465-Researching-A-Surgeon-s-Surgical-Margin-Rates?p=289625#post289625";"08-30-2015, 08:41 PM"
"Researching Best Doctors in Illinois";"http://www.cancerforums.net/threads/47136-Researching-Best-Doctors-in-Illinois";"ronwoj67";1;532;"MichiganMan16";"http://www.cancerforums.net/members/117327-MichiganMan16";"http://www.cancerforums.net/threads/47136-Researching-Best-Doctors-in-Illinois?p=302772#post302772";"02-12-2016, 06:04 PM"
"Result of radiation";"http://www.cancerforums.net/threads/47750-Result-of-radiation";"Bravehardon";4;832;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/47750-Result-of-radiation?p=307385#post307385";"04-19-2016, 03:07 PM"
"Results are back. Gleason 9.";"http://www.cancerforums.net/threads/43545-Results-are-back-Gleason-9";"goodlife307";13;3;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/43545-Results-are-back-Gleason-9?p=274872#post274872";"03-27-2015, 12:48 AM"
"Results Coming Back Next Week: What questions to ask given the possible situations";"http://www.cancerforums.net/threads/44353-Results-Coming-Back-Next-Week-What-questions-to-ask-given-the-possible-situations";"Lowlightsolutions";8;2;"Lowlightsolutions";"http://www.cancerforums.net/members/40218-Lowlightsolutions";"http://www.cancerforums.net/threads/44353-Results-Coming-Back-Next-Week-What-questions-to-ask-given-the-possible-situations?p=281378#post281378";"05-31-2015, 11:42 PM"
"Results of expert opinion on path report";"http://www.cancerforums.net/threads/9004-Results-of-expert-opinion-on-path-report";"daveswife";1;2;"mkane09";"http://www.cancerforums.net/members/13703-mkane09";"http://www.cancerforums.net/threads/9004-Results-of-expert-opinion-on-path-report?p=45693#post45693";"04-14-2009, 09:37 PM"
"Results of second opinion of biopsy";"http://www.cancerforums.net/threads/44351-Results-of-second-opinion-of-biopsy";"oshguy";3;1;"oshguy";"http://www.cancerforums.net/members/115392-oshguy";"http://www.cancerforums.net/threads/44351-Results-of-second-opinion-of-biopsy?p=281351#post281351";"05-31-2015, 02:22 PM"
"Return of Leakage";"http://www.cancerforums.net/threads/39339-Return-of-Leakage";"Bravehardon";13;3;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/39339-Return-of-Leakage?p=245336#post245336";"07-06-2014, 06:03 AM"
"Return to work after surgery";"http://www.cancerforums.net/threads/20230-Return-to-work-after-surgery";"kkennon57";5;3;"Skier";"http://www.cancerforums.net/members/25305-Skier";"http://www.cancerforums.net/threads/20230-Return-to-work-after-surgery?p=110297#post110297";"12-02-2011, 01:01 AM"
"Return to work???";"http://www.cancerforums.net/threads/8661-Return-to-work";"Jean222";1;2;"afflicted";"http://www.cancerforums.net/members/15524-afflicted";"http://www.cancerforums.net/threads/8661-Return-to-work?p=43243#post43243";"02-21-2009, 07:11 PM"
"Returning under new name- Doug's protocol having fabulous results-yananow posted";"http://www.cancerforums.net/threads/30021-Returning-under-new-name-Doug-s-protocol-having-fabulous-results-yananow-posted";"zufus";1;1;"zufus";"http://www.cancerforums.net/members/100951-zufus";"http://www.cancerforums.net/threads/30021-Returning-under-new-name-Doug-s-protocol-having-fabulous-results-yananow-posted?p=177458#post177458";"03-14-2013, 12:14 AM"
"Reverse velocity";"http://www.cancerforums.net/threads/11187-Reverse-velocity";"nestore";2;2;"chrisz";"http://www.cancerforums.net/members/5241-chrisz";"http://www.cancerforums.net/threads/11187-Reverse-velocity?p=57834#post57834";"11-19-2009, 12:46 PM"
"Ridiculous squirting-problem";"http://www.cancerforums.net/threads/45140-Ridiculous-squirting-problem";"Wilde";11;2;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/45140-Ridiculous-squirting-problem?p=287418#post287418";"08-10-2015, 05:18 AM"
"Right Doctor???";"http://www.cancerforums.net/threads/11763-Right-Doctor";"mylo83";2;2;"az4peaks";"http://www.cancerforums.net/members/18151-az4peaks";"http://www.cancerforums.net/threads/11763-Right-Doctor?p=60838#post60838";"01-20-2010, 12:53 AM"
"Rise After Surgery";"http://www.cancerforums.net/threads/42459-Rise-After-Surgery";"regress";5;1;"lancepeace";"http://www.cancerforums.net/members/24104-lancepeace";"http://www.cancerforums.net/threads/42459-Rise-After-Surgery?p=265914#post265914";"01-14-2015, 08:04 PM"
"Rise in PSA with last positive biopsy 3 years ago";"http://www.cancerforums.net/threads/41897-Rise-in-PSA-with-last-positive-biopsy-3-years-ago";"Cruze";14;3;"Jerseyguy";"http://www.cancerforums.net/members/31056-Jerseyguy";"http://www.cancerforums.net/threads/41897-Rise-in-PSA-with-last-positive-biopsy-3-years-ago?p=261807#post261807";"12-05-2014, 04:26 PM"
"Rising of PSA level after 10 years of RP";"http://www.cancerforums.net/threads/46358-Rising-of-PSA-level-after-10-years-of-RP";"Nattiv";7;3;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/46358-Rising-of-PSA-level-after-10-years-of-RP?p=296918#post296918";"11-24-2015, 08:03 PM"
"rising psa";"http://www.cancerforums.net/threads/29960-rising-psa";"sapporo";17;5;"sapporo";"http://www.cancerforums.net/members/23785-sapporo";"http://www.cancerforums.net/threads/29960-rising-psa?p=232023#post232023";"03-24-2014, 02:23 PM"
"Rising PSA (36 -->240 in 9 weeks)";"http://www.cancerforums.net/threads/9532-Rising-PSA-(36-gt-240-in-9-weeks)";"g4isa";3;6;"janeytee";"http://www.cancerforums.net/members/17097-janeytee";"http://www.cancerforums.net/threads/9532-Rising-PSA-(36-gt-240-in-9-weeks)?p=49862#post49862";"07-20-2009, 03:15 AM"
"Rising PSA (again) post RP - questions";"http://www.cancerforums.net/threads/45172-Rising-PSA-(again)-post-RP-questions";"edwardo";14;3;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/45172-Rising-PSA-(again)-post-RP-questions?p=296280#post296280";"11-15-2015, 10:53 PM"
"Rising PSA 2 years post-op";"http://www.cancerforums.net/threads/44105-Rising-PSA-2-years-post-op";"edwardo";8;2;"gsteve";"http://www.cancerforums.net/members/103854-gsteve";"http://www.cancerforums.net/threads/44105-Rising-PSA-2-years-post-op?p=279744#post279744";"05-11-2015, 10:43 PM"
"Rising PSA 2.5 Yrs Post-op";"http://www.cancerforums.net/threads/15358-Rising-PSA-2-5-Yrs-Post-op";"garyfoote";2;3;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/15358-Rising-PSA-2-5-Yrs-Post-op?p=80421#post80421";"01-05-2011, 01:36 AM"
"Rising PSA after hormone therapy ""holiday""";"http://www.cancerforums.net/threads/31253-Rising-PSA-after-hormone-therapy-quot-holiday-quot";"Arcticfox44";2;1;"Arcticfox44";"http://www.cancerforums.net/members/17606-Arcticfox44";"http://www.cancerforums.net/threads/31253-Rising-PSA-after-hormone-therapy-quot-holiday-quot?p=186414#post186414";"05-10-2013, 03:32 AM"
"rising psa after robotic surgery";"http://www.cancerforums.net/threads/33197-rising-psa-after-robotic-surgery";"griswald";2;1;"FeatherBoy";"http://www.cancerforums.net/members/48062-FeatherBoy";"http://www.cancerforums.net/threads/33197-rising-psa-after-robotic-surgery?p=201499#post201499";"08-19-2013, 07:08 PM"
"Rising PSA after RP, started HT";"http://www.cancerforums.net/threads/39370-Rising-PSA-after-RP-started-HT";"white08gt";8;2;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/39370-Rising-PSA-after-RP-started-HT?p=244612#post244612";"06-30-2014, 01:02 AM"
"Rising PSA after surgery and radiation";"http://www.cancerforums.net/threads/1970-Rising-PSA-after-surgery-and-radiation";"sbg42";11;32;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/1970-Rising-PSA-after-surgery-and-radiation?p=112773#post112773";"12-20-2011, 06:30 PM"
"Rising PSA drops. False negative?";"http://www.cancerforums.net/threads/15275-Rising-PSA-drops-False-negative";"Edgarh";4;4;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/15275-Rising-PSA-drops-False-negative?p=80005#post80005";"12-28-2010, 05:36 PM"
"Rising PSA levels";"http://www.cancerforums.net/threads/33802-Rising-PSA-levels";"Redcc";4;2;"fasteddie";"http://www.cancerforums.net/members/29939-fasteddie";"http://www.cancerforums.net/threads/33802-Rising-PSA-levels?p=206160#post206160";"09-20-2013, 01:00 AM"
"Rising PSA levels what to prepare for";"http://www.cancerforums.net/threads/41625-Rising-PSA-levels-what-to-prepare-for";"stark678";31;11;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/41625-Rising-PSA-levels-what-to-prepare-for?p=291098#post291098";"09-16-2015, 10:27 PM"
"rising PSA post radiation";"http://www.cancerforums.net/threads/23377-rising-PSA-post-radiation";"dupres";3;3;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/23377-rising-PSA-post-radiation?p=207815#post207815";"10-02-2013, 05:01 AM"
"rising psa post tri-modal treatment.";"http://www.cancerforums.net/threads/33993-rising-psa-post-tri-modal-treatment";"bigbrad2008";11;4;"bigbrad2008";"http://www.cancerforums.net/members/106810-bigbrad2008";"http://www.cancerforums.net/threads/33993-rising-psa-post-tri-modal-treatment?p=209487#post209487";"10-13-2013, 11:03 PM"
"Rising PSA reluctant patient";"http://www.cancerforums.net/threads/17465-Rising-PSA-reluctant-patient";"avril3";2;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/17465-Rising-PSA-reluctant-patient?p=91669#post91669";"06-07-2011, 03:37 AM"
"rising psa what do u think of these";"http://www.cancerforums.net/threads/23641-rising-psa-what-do-u-think-of-these";"c.cahill";4;3;"c.cahill";"http://www.cancerforums.net/members/31966-c-cahill";"http://www.cancerforums.net/threads/23641-rising-psa-what-do-u-think-of-these?p=134013#post134013";"06-15-2012, 05:51 PM"
"Rising PSA?";"http://www.cancerforums.net/threads/27623-Rising-PSA";"Jay";1;1;"wishbone";"http://www.cancerforums.net/members/35628-wishbone";"http://www.cancerforums.net/threads/27623-Rising-PSA?p=160949#post160949";"12-15-2012, 01:11 AM"
"Robot-Assisted Prostatectomy""The Best Treatment for Prostr";"http://www.cancerforums.net/threads/9480-Robot-Assisted-Prostatectomy-The-Best-Treatment-for-Prostr";"johnw100";5;2;"brainman";"http://www.cancerforums.net/members/1295-brainman";"http://www.cancerforums.net/threads/9480-Robot-Assisted-Prostatectomy-The-Best-Treatment-for-Prostr?p=48496#post48496";"06-21-2009, 04:14 AM"
"Robotic or Standard Surgery?";"http://www.cancerforums.net/threads/23309-Robotic-or-Standard-Surgery";"Woodman";14;6;"POMCHUERON";"http://www.cancerforums.net/members/31729-POMCHUERON";"http://www.cancerforums.net/threads/23309-Robotic-or-Standard-Surgery?p=132762#post132762";"06-03-2012, 03:09 AM"
"Robotic Procedure and Lymph Node Removal";"http://www.cancerforums.net/threads/37191-Robotic-Procedure-and-Lymph-Node-Removal";"regress";11;3;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/37191-Robotic-Procedure-and-Lymph-Node-Removal?p=229295#post229295";"03-06-2014, 09:59 PM"
"Robotic Prostate Surgery";"http://www.cancerforums.net/threads/39950-Robotic-Prostate-Surgery";"El";9;2;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/39950-Robotic-Prostate-Surgery?p=249212#post249212";"08-12-2014, 05:26 AM"
"Robotic Prostatectomy and Hair Growth";"http://www.cancerforums.net/threads/18904-Robotic-Prostatectomy-and-Hair-Growth";"quickstep";3;4;"JNF";"http://www.cancerforums.net/members/21457-JNF";"http://www.cancerforums.net/threads/18904-Robotic-Prostatectomy-and-Hair-Growth?p=100680#post100680";"09-12-2011, 03:35 PM"
"Robotic Radical Prostectomy Results";"http://www.cancerforums.net/threads/9188-Robotic-Radical-Prostectomy-Results";"rdrobertson";1;2;"Replicant";"http://www.cancerforums.net/members/3361-Replicant";"http://www.cancerforums.net/threads/9188-Robotic-Radical-Prostectomy-Results?p=46772#post46772";"05-14-2009, 05:36 AM"
"Robotic Recovery Questions";"http://www.cancerforums.net/threads/19995-Robotic-Recovery-Questions";"SinaiEmpl";8;3;"Skier";"http://www.cancerforums.net/members/25305-Skier";"http://www.cancerforums.net/threads/19995-Robotic-Recovery-Questions?p=108654#post108654";"11-19-2011, 03:20 AM"
"Robotic surgery @Henry Ford Hospital Detroit: Dr. Mani Menon";"http://www.cancerforums.net/threads/7417-Robotic-surgery-Henry-Ford-Hospital-Detroit-Dr-Mani-Menon";"roboticpatient";3;4;"roboticpatient";"http://www.cancerforums.net/members/13078-roboticpatient";"http://www.cancerforums.net/threads/7417-Robotic-surgery-Henry-Ford-Hospital-Detroit-Dr-Mani-Menon?p=46865#post46865";"05-16-2009, 01:49 PM"
"Robotic Surgery by experienced surgeon";"http://www.cancerforums.net/threads/40277-Robotic-Surgery-by-experienced-surgeon";"Winorygun";3;1;"Reinardo";"http://www.cancerforums.net/members/17271-Reinardo";"http://www.cancerforums.net/threads/40277-Robotic-Surgery-by-experienced-surgeon?p=249321#post249321";"08-13-2014, 08:25 AM"
"Robotic surgery in Beantown--now my hip hurts";"http://www.cancerforums.net/threads/45171-Robotic-surgery-in-Beantown-now-my-hip-hurts";"PDV";2;769;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/45171-Robotic-surgery-in-Beantown-now-my-hip-hurts?p=287481#post287481";"08-10-2015, 10:59 PM"
"Robotic Surgery tomorrow morning, emergency question!";"http://www.cancerforums.net/threads/10900-Robotic-Surgery-tomorrow-morning-emergency-question!";"Travelingman";54;17;"Didee";"http://www.cancerforums.net/members/20456-Didee";"http://www.cancerforums.net/threads/10900-Robotic-Surgery-tomorrow-morning-emergency-question!?p=259214#post259214";"11-12-2014, 03:14 AM"
"Robotic Surgery Tuesday 10-18-2016";"http://www.cancerforums.net/threads/49198-Robotic-Surgery-Tuesday-10-18-2016";"toloh";29;1;"KeepOnTruckin";"http://www.cancerforums.net/members/118923-KeepOnTruckin";"http://www.cancerforums.net/threads/49198-Robotic-Surgery-Tuesday-10-18-2016?p=320714#post320714";"10-21-2016, 12:58 PM"
"Robotic surgery vs hands";"http://www.cancerforums.net/threads/38182-Robotic-surgery-vs-hands";"RobertG";24;5;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/38182-Robotic-surgery-vs-hands?p=242514#post242514";"06-13-2014, 12:08 AM"
"Robotic surgery vs. Radiation with hormonal therapy";"http://www.cancerforums.net/threads/31210-Robotic-surgery-vs-Radiation-with-hormonal-therapy";"dsnyfans";2;1;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/31210-Robotic-surgery-vs-Radiation-with-hormonal-therapy?p=186394#post186394";"05-10-2013, 12:16 AM"
"robotic wreckage";"http://www.cancerforums.net/threads/11437-robotic-wreckage";"ruddy";5;3;"ruddy";"http://www.cancerforums.net/members/15675-ruddy";"http://www.cancerforums.net/threads/11437-robotic-wreckage?p=59293#post59293";"12-19-2009, 12:49 AM"
"Role of Radiation in Prostate Cancer-seminar";"http://www.cancerforums.net/threads/14547-Role-of-Radiation-in-Prostate-Cancer-seminar";"Bentley";0;1;"Bentley";"http://www.cancerforums.net/members/20566-Bentley";"http://www.cancerforums.net/threads/14547-Role-of-Radiation-in-Prostate-Cancer-seminar?p=76373#post76373";"10-06-2010, 09:50 PM"
"Roller Coaster Ride Continues";"http://www.cancerforums.net/threads/48677-Roller-Coaster-Ride-Continues";"mitchden";9;1;"Lumore51";"http://www.cancerforums.net/members/118558-Lumore51";"http://www.cancerforums.net/threads/48677-Roller-Coaster-Ride-Continues?p=315634#post315634";"08-14-2016, 08:45 PM"
"Rounding in PSA Tests";"http://www.cancerforums.net/threads/11219-Rounding-in-PSA-Tests";"SoCal";6;5;"srtimmons";"http://www.cancerforums.net/members/17096-srtimmons";"http://www.cancerforums.net/threads/11219-Rounding-in-PSA-Tests?p=58040#post58040";"11-22-2009, 02:59 PM"
"RP and Radiation didn't how can I keep PSA low";"http://www.cancerforums.net/threads/16373-RP-and-Radiation-didn-t-how-can-I-keep-PSA-low";"bobg";5;2;"crhoads";"http://www.cancerforums.net/members/11449-crhoads";"http://www.cancerforums.net/threads/16373-RP-and-Radiation-didn-t-how-can-I-keep-PSA-low?p=86338#post86338";"03-27-2011, 03:11 AM"
"RP Failed Bone Scan Positive Gleason 9";"http://www.cancerforums.net/threads/18153-RP-Failed-Bone-Scan-Positive-Gleason-9";"SoCalSurfer";4;3;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/18153-RP-Failed-Bone-Scan-Positive-Gleason-9?p=95630#post95630";"07-24-2011, 03:09 AM"
"RP questions";"http://www.cancerforums.net/threads/49329-RP-questions?s=7425222891ad50eb28bb980913228222";"Cathy792";4;398;"rooster22";"http://www.cancerforums.net/members/119783-rooster22?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49329-RP-questions?s=7425222891ad50eb28bb980913228222&p=321590#post321590";"11-02-2016, 10:34 AM"
"RP Surgery Tomorrow";"http://www.cancerforums.net/threads/9774-RP-Surgery-Tomorrow";"srtimmons";1;2;"Replicant";"http://www.cancerforums.net/members/3361-Replicant";"http://www.cancerforums.net/threads/9774-RP-Surgery-Tomorrow?p=49850#post49850";"07-19-2009, 11:55 PM"
"RP the day before yesterday";"http://www.cancerforums.net/threads/44919-RP-the-day-before-yesterday";"dshinnick";20;4;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/44919-RP-the-day-before-yesterday?p=285771#post285771";"07-20-2015, 11:32 PM"
"RRP Surgery done yesterday";"http://www.cancerforums.net/threads/49370-RRP-Surgery-done-yesterday?s=7425222891ad50eb28bb980913228222";"Jack1954";3;329;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49370-RRP-Surgery-done-yesterday?s=7425222891ad50eb28bb980913228222&p=321911#post321911";"11-08-2016, 02:07 AM"
"RRP went well";"http://www.cancerforums.net/threads/9797-RRP-went-well";"srtimmons";6;3;"DDough";"http://www.cancerforums.net/members/17221-DDough";"http://www.cancerforums.net/threads/9797-RRP-went-well?p=50806#post50806";"08-02-2009, 03:03 AM"
"Rude Uro Receptionist";"http://www.cancerforums.net/threads/40379-Rude-Uro-Receptionist";"HighlanderCFH";6;1;"JustBrandon";"http://www.cancerforums.net/members/108130-JustBrandon";"http://www.cancerforums.net/threads/40379-Rude-Uro-Receptionist?p=249985#post249985";"08-19-2014, 05:32 AM"
"Salvage Radiation";"http://www.cancerforums.net/threads/8302-Salvage-Radiation";"Hawk";29;13;"Hawk";"http://www.cancerforums.net/members/3518-Hawk";"http://www.cancerforums.net/threads/8302-Salvage-Radiation?p=47144#post47144";"05-23-2009, 05:22 AM"
"Salvage Radiation and Hormone (Lupron) Therapy";"http://www.cancerforums.net/threads/44434-Salvage-Radiation-and-Hormone-(Lupron)-Therapy";"hms03049";3;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/44434-Salvage-Radiation-and-Hormone-(Lupron)-Therapy?p=281895#post281895";"06-06-2015, 03:07 AM"
"Salvage Radiation closing the Gap? or as the English would say Mind the Gap!";"http://www.cancerforums.net/threads/46871-Salvage-Radiation-closing-the-Gap-or-as-the-English-would-say-Mind-the-Gap!";"XJC3";0;840;"XJC3";"http://www.cancerforums.net/members/19546-XJC3";"http://www.cancerforums.net/threads/46871-Salvage-Radiation-closing-the-Gap-or-as-the-English-would-say-Mind-the-Gap!?p=300350#post300350";"01-12-2016, 08:49 PM"
"Salvage Radiation Experiences?";"http://www.cancerforums.net/threads/42527-Salvage-Radiation-Experiences";"regress";11;3;"regress";"http://www.cancerforums.net/members/109143-regress";"http://www.cancerforums.net/threads/42527-Salvage-Radiation-Experiences?p=267529#post267529";"01-27-2015, 07:27 PM"
"Salvage Radiation I hope a good question?";"http://www.cancerforums.net/threads/46772-Salvage-Radiation-I-hope-a-good-question";"XJC3";10;2;"XJC3";"http://www.cancerforums.net/members/19546-XJC3";"http://www.cancerforums.net/threads/46772-Salvage-Radiation-I-hope-a-good-question?p=299574#post299574";"01-03-2016, 10:35 PM"
"Salvage Radiation Questions, and should I see a Urologist or Oncologist after surgery";"http://www.cancerforums.net/threads/46153-Salvage-Radiation-Questions-and-should-I-see-a-Urologist-or-Oncologist-after-surgery";"mikem350";8;1;"hms03049";"http://www.cancerforums.net/members/115122-hms03049";"http://www.cancerforums.net/threads/46153-Salvage-Radiation-Questions-and-should-I-see-a-Urologist-or-Oncologist-after-surgery?p=295044#post295044";"10-29-2015, 01:59 PM"
"Salvage Radiation Started...";"http://www.cancerforums.net/threads/8125-Salvage-Radiation-Started";"dsmc";12;6;"mkane09";"http://www.cancerforums.net/members/13703-mkane09";"http://www.cancerforums.net/threads/8125-Salvage-Radiation-Started?p=69271#post69271";"06-05-2010, 05:19 PM"
"Salvage Radiation with or without Hormone Therapy";"http://www.cancerforums.net/threads/44866-Salvage-Radiation-with-or-without-Hormone-Therapy";"XJC3";8;2;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/44866-Salvage-Radiation-with-or-without-Hormone-Therapy?p=285456#post285456";"07-17-2015, 04:40 PM"
"Salvage RT soon";"http://www.cancerforums.net/threads/11173-Salvage-RT-soon";"jaha";6;4;"Replicant";"http://www.cancerforums.net/members/3361-Replicant";"http://www.cancerforums.net/threads/11173-Salvage-RT-soon?p=59891#post59891";"01-02-2010, 03:51 PM"
"Samadi or Tewari";"http://www.cancerforums.net/threads/14951-Samadi-or-Tewari";"wong001";8;4;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/14951-Samadi-or-Tewari?p=104833#post104833";"10-18-2011, 04:08 AM"
"Sarg, chuck, advice anyone";"http://www.cancerforums.net/threads/29309-Sarg-chuck-advice-anyone";"Gimmy";5;1;"joeelio";"http://www.cancerforums.net/members/99495-joeelio";"http://www.cancerforums.net/threads/29309-Sarg-chuck-advice-anyone?p=172399#post172399";"02-13-2013, 12:38 AM"
"saturated biopsy";"http://www.cancerforums.net/threads/11519-saturated-biopsy";"skitter";5;7;"rpgilboy";"http://www.cancerforums.net/members/17127-rpgilboy";"http://www.cancerforums.net/threads/11519-saturated-biopsy?p=59717#post59717";"12-29-2009, 01:18 AM"
"saturation biopsy and turp at the same time.";"http://www.cancerforums.net/threads/36046-saturation-biopsy-and-turp-at-the-same-time";"drb46";4;1;"drb46";"http://www.cancerforums.net/members/28890-drb46";"http://www.cancerforums.net/threads/36046-saturation-biopsy-and-turp-at-the-same-time?p=221389#post221389";"01-07-2014, 04:39 PM"
"Saturation Biopsy done";"http://www.cancerforums.net/threads/4735-Saturation-Biopsy-done";"chrisz";10;17;"Lei";"http://www.cancerforums.net/members/31307-Lei";"http://www.cancerforums.net/threads/4735-Saturation-Biopsy-done?p=130278#post130278";"05-11-2012, 11:49 AM"
"Saturation Biopsy, how many cores taken";"http://www.cancerforums.net/threads/41559-Saturation-Biopsy-how-many-cores-taken";"35coupe";4;1;"NYC GMAN";"http://www.cancerforums.net/members/106977-NYC-GMAN";"http://www.cancerforums.net/threads/41559-Saturation-Biopsy-how-many-cores-taken?p=258525#post258525";"11-06-2014, 01:47 AM"
"Sautrated biopsy";"http://www.cancerforums.net/threads/38150-Sautrated-biopsy";"wish";4;954;"wish full";"http://www.cancerforums.net/members/109884-wish-full";"http://www.cancerforums.net/threads/38150-Sautrated-biopsy?p=236206#post236206";"04-23-2014, 05:37 PM"
"Saying ""Hello""";"http://www.cancerforums.net/threads/47039-Saying-quot-Hello-quot";"RevConwell";9;1;"RevConwell";"http://www.cancerforums.net/members/118390-RevConwell";"http://www.cancerforums.net/threads/47039-Saying-quot-Hello-quot?p=302054#post302054";"02-03-2016, 08:47 PM"
"SBRT 5 year study released. Claimed ""98% cure rate""";"http://www.cancerforums.net/threads/47749-SBRT-5-year-study-released-Claimed-quot-98-cure-rate-quot";"Otago";6;1;"scratch";"http://www.cancerforums.net/members/25758-scratch";"http://www.cancerforums.net/threads/47749-SBRT-5-year-study-released-Claimed-quot-98-cure-rate-quot?p=307563#post307563";"04-22-2016, 02:48 PM"
"Scalp mole indicative of prostate cancer?";"http://www.cancerforums.net/threads/26792-Scalp-mole-indicative-of-prostate-cancer";"question33";2;1;"question33";"http://www.cancerforums.net/members/78010-question33";"http://www.cancerforums.net/threads/26792-Scalp-mole-indicative-of-prostate-cancer?p=155829#post155829";"11-18-2012, 03:52 AM"
"Scans";"http://www.cancerforums.net/threads/37453-Scans";"cvictim";1;701;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/37453-Scans?p=231205#post231205";"03-19-2014, 03:24 AM"
"Scans and Xrays";"http://www.cancerforums.net/threads/36827-Scans-and-Xrays";"cvictim";5;1;"cvictim";"http://www.cancerforums.net/members/109315-cvictim";"http://www.cancerforums.net/threads/36827-Scans-and-Xrays?p=226601#post226601";"02-14-2014, 11:19 PM"
"Scar pain";"http://www.cancerforums.net/threads/29292-Scar-pain";"Nando";0;1;"Nando";"http://www.cancerforums.net/members/98919-Nando";"http://www.cancerforums.net/threads/29292-Scar-pain?p=171784#post171784";"02-09-2013, 03:44 PM"
"Scar tissue on removed prostate ???";"http://www.cancerforums.net/threads/34254-Scar-tissue-on-removed-prostate";"gsteve";3;1;"gsteve";"http://www.cancerforums.net/members/103854-gsteve";"http://www.cancerforums.net/threads/34254-Scar-tissue-on-removed-prostate?p=209283#post209283";"10-12-2013, 12:59 AM"
